Date,Close,High,Low,Open,Volume,Log_Return,Rolling_Weekly_Volatility,Annual_Rolling_Volatility
2000-01-01,91.32859802246094,92.89512629042768,86.00240191137402,92.89512629042768,42725700,,,
2000-01-08,92.0922393798828,92.40554489340144,89.52705048794901,91.64186270419978,32748700,0.008326706828157391,,
2000-01-15,90.50613403320312,92.11182485767796,90.11450212479464,91.07400030039544,24691300,-0.017373048953264667,,
2000-01-22,85.14078521728516,91.38731476749535,84.92538764658826,91.26982518347889,45836400,-0.06111144476374516,,
2000-01-29,89.35083770751953,90.2320096770217,84.59250907220785,85.10163065458687,38317400,0.04826443411766463,,
2000-02-05,86.90314483642578,90.58448580741452,86.49193121732597,89.33126334920559,35834100,-0.027776396376918453,,
2000-02-12,84.7883071899414,88.48922868160398,84.3575120956738,87.5884753026808,45445900,-0.024636574378858862,,
2000-02-19,83.54488372802734,86.13944533448782,83.39802175030316,84.70998875130581,56469300,-0.014773629263057746,,
2000-02-26,88.43045806884766,88.80250826887159,83.1630105000877,83.57422387906152,48878800,0.056832441474140925,,
2000-03-04,87.8038558959961,88.9787513807775,84.61205649567331,88.23465090708261,57263100,-0.007111042102952681,,
2000-03-11,92.07269287109376,92.7384673410251,85.02331613064422,85.64992739646195,64979500,0.047472988468390764,,
2000-03-18,96.46858215332033,97.84277848029068,90.77548308444304,92.26746766801088,57492300,0.046638976837610535,,
2000-03-25,94.46611785888672,96.60593640556556,92.4244561262757,96.3507286889892,40621500,-0.02097615276100688,,
2000-04-01,95.13361358642578,96.11518203036331,88.82212849190743,94.30909609351824,48883000,0.0070411332356056806,,
2000-04-08,85.43571472167969,96.1838888508432,83.8652052598841,95.32992433099186,71239600,-0.10751814372523799,,
2000-04-15,90.34355926513672,91.16807675517056,84.61119957252048,84.92530147348575,50078700,0.055855509458783835,,
2000-04-22,91.14846801757812,93.44533873867584,88.26265608594255,88.89086004384961,59044900,0.008869965714254748,,
2000-04-29,90.16687774658205,93.278449730652,87.81111346842182,92.07112053809487,43196900,-0.010827543103146806,,
2000-05-06,89.71537017822266,90.1276289908578,86.53508790932285,89.67610743416216,34030200,-0.005020045299253609,,
2000-05-13,88.65522003173828,92.79743691098912,88.20369876054033,89.67605073183802,29384700,-0.011887190920251665,,
2000-05-20,86.6921157836914,89.08714253315027,85.74981017734693,88.7337779307711,42993000,-0.02239197149285917,,
2000-05-27,92.87600708007812,93.66126184296188,87.61480016875686,87.94853344298245,29343000,0.06890240347109569,,
2000-06-03,92.09075164794922,93.11158283227952,91.48217921113694,92.6404299779732,25584900,-0.008490824569925082,,
2000-06-10,92.09075164794922,93.5238415797975,90.85397540539522,92.32632807510235,28107200,0.0,,
2000-06-17,90.91043090820312,93.92110102269557,90.59558958904051,92.22882893219656,27055700,-0.012899775736337365,,
2000-06-24,91.48107147216795,92.55349960622544,90.36928817722766,91.54010421349224,28474400,0.006257335659097532,,
2000-07-01,93.25203704833984,93.6849437406934,90.81201750961984,91.57944300970112,13182800,0.019173821583271213,0.038549110845310465,0.2779815915526237
2000-07-08,95.2395477294922,95.2395477294922,92.66178311119396,93.1143677388341,24828600,0.02108936955429271,0.038729601019516766,0.27928312470826017
2000-07-15,92.9962387084961,95.70190583130992,92.9962387084961,95.0722233009096,27173000,-0.023836224521319904,0.03887466687491167,0.28032920946815093
2000-07-22,89.47394561767578,93.73414118095415,89.10991043097532,93.27171810595628,36330200,-0.03861157585779317,0.037667382195292164,0.27162335583525044
2000-07-29,92.16981506347656,92.3862685147358,89.45430812949711,90.00528055088425,24945600,0.02968521904865206,0.03692165656869827,0.2662458518670269
2000-08-05,92.81918334960938,93.96048346287571,91.65820564818328,92.38627641009457,22485100,0.0070206440269559,0.03645724349968646,0.26289692160039146
2000-08-12,94.25562286376952,94.72788485724143,92.60270588661784,93.05529029702842,24001500,0.015357148022103745,0.036107071614003505,0.26037179622227985
2000-08-19,95.2395477294922,95.47567883956532,93.9998594016083,94.47212162175455,18290300,0.010384789281401652,0.03591846438080681,0.2590117301218517
2000-08-26,96.02664184570312,96.71535751467846,94.66888809829462,95.23953822401704,21099700,0.008230399330543479,0.03434540087236886,0.24766820784338311
2000-09-02,94.33436584472656,95.83970146990838,94.02936320171588,95.63308677625596,15576700,-0.017780117926886885,0.03453634881906317,0.24904515306888492
2000-09-09,91.93367004394533,95.20014890252727,91.93367004394533,94.29498006219734,23881000,-0.025778215029321996,0.03372101815515145,0.24316572003850132
2000-09-16,91.7109146118164,92.7761736759244,89.90589230874451,92.40136030151602,31969200,-0.0024259418462356072,0.03234815206973119,0.23326584190784475
2000-09-23,90.6654052734375,92.37179290532444,89.7185080904251,92.12520509724828,38584900,-0.011465532284341398,0.032177666028803745,0.23203644958321523
2000-09-30,89.04779052734375,92.00684426662193,88.21925548034588,91.0796740949814,35595700,-0.018002667274293685,0.03228395283554857,0.23280289464646284
2000-10-07,86.83836364746094,89.20560663648759,83.82012883645196,89.20560663648759,45074400,-0.02512469630316657,0.02472677366078725,0.17830730062152167
2000-10-14,88.31782531738281,89.1266327415536,82.16299808954643,86.73966448973246,40528800,0.01689345793217269,0.022308118234509493,0.16086612830727434
2000-10-21,87.92333221435547,89.600128992058,84.60919270077868,88.33759965355256,39287000,-0.004476749556094603,0.02222839134199903,0.16029120950931458
2000-10-28,90.13272857666016,90.84290109335085,87.21313045248732,87.39067358166,41242300,0.02481813599531026,0.022716643401015417,0.1638120451775835
2000-11-04,86.24653625488281,91.08951993525191,86.18735519157892,90.36948366505447,34601900,-0.04407345015833262,0.02429700972935392,0.17520822883926596
2000-11-11,86.25635528564453,88.44605349872779,83.96802201791789,85.6152274304625,47027100,0.00011384192675996888,0.02420593925242571,0.17455151029077473
2000-11-18,85.12210845947266,86.08873263433108,83.4058573734995,85.69419215479704,22291300,-0.013236941946056622,0.023948359380907874,0.17269407542220475
2000-11-25,83.46504211425781,86.28600666692594,81.906607151595,86.14791749301912,37031000,-0.01965890884099494,0.01954570736623693,0.1409461002483629
2000-12-02,84.56977081298828,88.04172781394138,83.01133556824229,83.24805990921635,45573400,0.013148996882032712,0.019810603118943733,0.1428562906864369
2000-12-09,82.67595672607422,88.10088826977987,82.4195054167354,86.71999660410934,34242700,-0.02264805282948467,0.02015567236701848,0.14534462042147553
