Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2012-07-20,107.04237365722656,107.58358783247932,106.92472360541908,107.41886579147967,142904500
2012-07-23,105.9599609375,106.9717994061833,104.97950379957406,105.47365802699943,145210900
2012-07-24,105.05010986328125,106.0854785037112,104.34418540369556,106.03841846886851,173301200
2012-07-25,105.07364654541016,105.54425883855477,104.51674156811274,105.26973799300512,129122300
2012-07-26,106.80706024169922,107.0345329636247,106.0932846871274,106.58743883544157,156526500
2012-07-27,108.77584075927734,109.08175490358659,106.78355694175544,107.37183127747873,236768900
2012-07-30,108.77584075927734,109.29352504714713,108.45425988512065,108.65035133036176,106782000
2012-07-31,108.01499938964844,108.92485445150304,108.01499938964844,108.62680364178776,120575900
2012-08-01,107.9208755493164,108.81505198314966,107.77184414893236,108.79152196924386,138293800
2012-08-02,107.17574310302734,107.90520952519154,106.34431726478712,107.10515305301955,199556600
2012-08-03,109.3013916015625,109.5288524436229,107.20712414218804,108.68173584587532,157825000
2012-08-06,109.51313018798828,109.94453369692258,109.46607016309913,109.5915715417837,86326200
2012-08-07,110.06220245361328,110.5328146997346,109.83472969478768,109.95237976420027,109545100
2012-08-08,110.19550323486328,110.32099260724772,109.66212852047961,109.69350983992568,89754700
2012-08-09,110.28964233398438,110.50926373423015,109.92882890874135,110.03863960886424,90291700
2012-08-10,110.47005462646484,110.5092753024291,109.66215896917487,109.84255971644653,99792700
2012-08-13,110.4151840209961,110.47008340687286,109.84258833337532,110.28184326275473,79426900
2012-08-14,110.43085479736328,110.893639711553,110.10142260032,110.8230376941013,102379400
2012-08-15,110.55631256103516,110.74456458581777,110.2425711548649,110.3131611759831,71085900
2012-08-16,111.37210845947266,111.50544921429501,110.43871120724341,110.71323206653436,112014200
2012-08-17,111.52110290527344,111.61523492228305,111.27011211967796,111.56032358165494,90813700
2012-08-20,111.52899932861328,111.5525293502647,111.05837495863528,111.36427720857851,78255700
2012-08-21,111.1916732788086,112.23488105807893,110.94852183560843,111.80347754507686,105581100
2012-08-22,111.23873138427734,111.41913211502022,110.6504572041225,110.90928731113806,133243500
2012-08-23,110.3288803100586,110.97205394923546,110.15631890159078,110.96421460102167,111466400
2012-08-24,110.9955825805664,111.24658534192962,109.98375612393819,110.05434616239519,99481200
2012-08-27,111.0191650390625,111.44272940683798,110.86229422333962,111.29369794293461,68785900
2012-08-28,110.90931701660156,111.25443987635028,110.57204547451117,110.73675558672721,75689600
2012-08-29,110.9955825805664,111.29364536756762,110.689680445449,111.00343389715302,65421300
2012-08-30,110.19550323486328,110.54846528359857,109.96019121288421,110.5170839641525,96589900
2012-08-31,110.72109985351562,111.23878425051393,110.09360470277294,110.82305928797321,151970400
2012-09-04,110.61908721923828,110.95637067404166,109.91316291807037,110.62692656712856,120226200
2012-09-05,110.5250015258789,110.96424451366903,110.30538003198384,110.6661816426084,100660300
2012-09-06,112.76830291748047,112.77614226881171,111.18388024987182,111.19171960120306,158272500
2012-09-07,113.20751953125,113.25457956520108,112.85455730814436,112.95651672554753,107272100
2012-09-10,112.5643310546875,113.29379746843941,112.52512233967246,113.09770601947534,86458500
2012-09-11,112.87810516357422,113.23890679319939,112.60357229751098,112.63495363741934,88760000
2012-09-12,113.2545394897461,113.3800408481883,112.87019606769245,113.2545394897461,87640900
2012-09-13,114.98017883300781,115.33314104649973,112.9408349503477,113.23888581341065,225470200
2012-09-14,115.48997497558594,116.17236909786497,115.1134709363925,115.20760293042443,169777000
2012-09-17,115.09782409667969,115.45078625869375,114.80760065675976,115.2546948388559,119427800
2012-09-18,115.00367736816406,115.15270874313569,114.71346593383126,114.90171798144841,98326600
2012-09-19,115.06642150878906,115.43507426745376,114.83896076992723,115.13701153445636,128318300
2012-09-20,115.07430267333984,115.13704140011701,114.227186240192,114.5409277479632,154009800
2012-09-21,115.02621459960938,115.6570593640718,114.97890334793824,115.63340373823623,108737500
2012-09-24,114.85271453857422,115.1129384155918,114.37169683239527,114.45843812473447,95682000
2012-09-25,113.63046264648438,115.31796514758949,113.5989137965418,115.0971713274345,133165200
2012-09-26,112.9917221069336,113.63834115951988,112.72361705055607,113.60680434268274,146502200
2012-09-27,114.0562515258789,114.31647533675834,113.16518320671824,113.46483705543241,111830300
2012-09-28,113.52791595458984,113.9931590892265,113.12575847026353,113.62253841387663,150696100
2012-10-01,113.82759857177734,114.88425640889365,113.55948148206382,113.96165110045385,135911200
2012-10-02,113.94585418701172,114.45840857975398,113.41752537272654,114.277044845264,113422200
2012-10-03,114.41114044189453,114.67924554731852,113.65413637571359,114.25343226413706,121283100
2012-10-04,115.23121643066406,115.39680576892559,114.68711311165623,114.84482125412053,124311600
2012-10-05,115.23912811279297,116.04345549421247,114.8921628881664,115.84631725588947,124842100
2012-10-08,114.84483337402344,115.22333536235416,114.58460949693318,114.81329655514641,78415400
2012-10-09,113.70928192138672,114.8526807789609,113.6698518851205,114.75805831780815,148872900
